Year,FSM,VR1 Band,VR Band of Student,Ethnic group of student,School denomination,Exam Score
2,63,15,3,1,1,13
2,63,15,3,5,1,11
2,63,15,1,11,1,17
2,63,15,2,11,1,23
2,63,15,1,11,1,17
2,63,15,1,7,1,18
2,63,15,1,1,1,21
2,63,15,3,1,1,12
2,63,15,3,5,1,20
2,63,15,3,1,1,22
2,63,15,3,1,1,29
2,63,15,3,1,1,19
2,63,15,1,4,1,10
2,63,15,3,1,1,14
2,63,15,3,1,1,28
2,63,15,2,1,1,34
2,63,15,3,5,1,13
2,63,15,3,1,1,8
2,63,15,3,1,1,30
2,63,15,3,4,1,32
2,63,15,3,1,1,22
2,63,15,3,1,1,26
2,63,15,3,5,1,9
2,63,15,3,1,1,29
2,63,15,3,1,1,38
2,63,15,3,1,1,25
2,63,15,1,10,1,21
2,63,15,3,2,1,19
2,63,15,3,1,1,25
2,63,15,3,1,1,28
2,63,15,2,1,1,31
2,63,15,1,11,1,16
2,63,15,2,1,1,38
2,63,15,3,10,1,17
2,63,15,2,5,1,25
2,63,15,3,5,1,33
2,63,15,3,1,1,5
2,63,15,3,8,1,23
2,63,15,2,9,1,22
2,63,15,3,1,1,14
2,63,15,2,1,1,19
2,63,15,3,1,1,7
2,63,15,3,1,1,26
2,63,15,1,4,1,6
2,63,15,3,1,1,15
2,63,15,3,1,1,19
2,63,15,3,1,1,31
2,63,15,1,1,1,3
2,63,15,2,11,1,12
2,63,15,3,1,1,46
2,63,15,2,1,1,46
2,63,15,3,1,1,12
2,63,15,3,1,1,3
2,63,15,3,1,1,24
3,63,16,3,1,1,13
3,63,16,3,4,1,16
3,63,16,3,1,1,19
3,63,16,3,1,1,19
3,63,16,3,1,1,26
3,63,16,3,1,1,29
3,63,16,1,1,1,9
3,63,16,3,1,1,20
3,63,16,3,4,1,32
3,63,16,3,5,1,28
3,63,16,3,5,1,33
3,63,16,3,1,1,16
3,63,16,3,1,1,25
3,63,16,1,4,1,2
3,63,16,1,4,1,6
3,63,16,3,1,1,17
3,63,16,3,5,1,34
3,63,16,1,1,1,11
3,63,16,1,4,1,7
3,63,16,1,5,1,13
3,63,16,3,1,1,17
3,63,16,2,1,1,38
3,63,16,2,1,1,30
3,63,16,3,1,1,27
3,63,16,1,6,1,8
3,63,16,1,1,1,12
3,63,16,2,1,1,35
3,63,16,3,5,1,17
3,63,16,3,1,1,1
3,63,16,1,4,1,4
3,63,16,1,11,1,16
3,63,16,2,1,1,31
3,63,16,3,1,1,9
3,63,16,3,10,1,22
3,63,16,1,5,1,30
3,63,16,3,1,1,21
3,63,16,2,1,1,32
3,63,16,1,4,1,20
3,63,16,2,1,1,39
3,63,16,3,1,1,32
3,63,16,3,1,1,20
3,63,16,2,1,1,12
3,63,16,3,1,1,18
3,63,16,3,1,1,12
3,63,16,3,1,1,20
3,63,16,3,1,1,16
3,63,16,3,1,1,33
3,63,16,3,1,1,26
3,63,16,2,2,1,22
3,63,16,3,3,1,15
3,63,16,3,5,1,20
3,63,16,3,4,1,41
3,63,16,2,1,1,32
3,63,16,3,1,1,17
3,63,16,3,9,1,38
3,63,16,3,5,1,32
3,63,16,3,1,1,28
3,63,16,1,1,1,22
3,63,16,1,1,1,10
1,41,28,3,5,3,31
1,41,28,2,1,3,32
1,41,28,3,1,3,17
1,41,28,3,5,3,30
1,41,28,2,1,3,26
1,41,28,3,5,3,27
1,41,28,2,5,3,43
1,41,28,2,5,3,30
1,41,28,1,1,3,12
1,41,28,3,11,3,29
1,41,28,2,1,3,40
1,41,28,2,1,3,47
1,41,28,3,1,3,23
1,41,28,2,1,3,44
1,41,28,2,1,3,33
1,41,28,3,5,3,32
1,41,28,2,1,3,32
1,41,28,3,5,3,30
1,41,28,2,6,3,20
1,41,28,2,1,3,39
1,41,28,1,1,3,22
1,41,28,2,1,3,54
1,41,28,3,5,3,34
1,41,28,3,1,3,18
1,41,28,2,5,3,21
1,41,28,2,1,3,36
1,41,28,2,11,3,42
1,41,28,2,1,3,39
1,41,28,3,1,3,22
1,41,28,2,1,3,35
1,41,28,2,1,3,14
1,41,28,1,5,3,13
1,41,28,3,5,3,28
1,41,28,1,1,3,11
1,41,28,1,1,3,10
1,41,28,3,11,3,18
1,41,28,3,1,3,19
1,41,28,3,5,3,29
1,41,28,2,1,3,21
1,41,28,1,1,3,16
1,41,28,3,1,3,27
1,41,28,2,1,3,20
1,41,28,1,5,3,18
1,41,28,2,1,3,26
1,41,28,3,1,3,27
1,41,28,3,1,3,22
1,41,28,2,11,3,27
1,41,28,2,1,3,32
1,41,28,3,9,3,24
1,41,28,2,11,3,33
