Year,FSM,VR1 Band,VR Band of Student,Ethnic group of student,School denomination,Exam Score
1,24,21,2,1,2,20
1,24,21,3,1,2,12
1,24,21,1,1,2,16
1,24,21,3,5,2,10
1,24,21,3,1,2,9
1,24,21,3,1,2,19
1,24,21,3,2,2,19
1,24,21,3,5,2,18
1,24,21,3,1,2,10
1,24,21,3,1,2,22
1,24,21,2,1,2,52
1,24,21,1,2,2,1
1,24,21,2,2,2,9
1,24,21,1,5,2,1
1,24,21,3,1,2,13
1,24,21,1,5,2,9
1,24,21,3,1,2,12
1,24,21,3,1,2,24
1,24,21,2,7,2,25
1,24,21,3,5,2,6
1,24,21,3,1,2,23
1,24,21,3,2,2,9
1,24,21,3,1,2,4
1,24,21,2,1,2,32
1,24,21,2,1,2,27
1,24,21,1,1,2,12
1,24,21,2,1,2,31
1,24,21,3,5,2,3
1,24,21,3,3,2,15
1,24,21,3,5,2,28
1,24,21,3,5,2,18
1,24,21,2,1,2,20
1,24,21,1,1,2,6
2,37,19,1,5,2,11
2,37,19,2,6,2,39
2,37,19,1,5,2,10
2,37,19,3,1,2,22
2,37,19,3,5,2,8
2,37,19,3,9,2,32
2,37,19,3,5,2,20
2,37,19,3,1,2,21
2,37,19,1,5,2,18
2,37,19,3,1,2,23
2,37,19,1,1,2,13
2,37,19,1,5,2,4
2,37,19,3,1,2,25
2,37,19,3,5,2,17
2,37,19,3,5,2,11
2,37,19,1,5,2,4
2,37,19,3,1,2,29
2,37,19,2,1,2,30
2,37,19,3,5,2,8
2,37,19,3,5,2,30
2,37,19,3,5,2,3
2,37,19,2,6,2,34
2,37,19,3,1,2,23
2,37,19,3,1,2,17
2,37,19,2,1,2,26
2,37,19,2,1,2,29
2,37,19,3,5,2,13
2,37,19,3,5,2,8
2,37,19,3,1,2,26
3,37,20,2,8,2,43
3,37,20,1,5,2,7
3,37,20,3,5,2,22
3,37,20,2,1,2,22
3,37,20,2,1,2,6
3,37,20,3,1,2,32
3,37,20,1,5,2,3
3,37,20,2,8,2,38
3,37,20,3,1,2,15
3,37,20,2,1,2,35
3,37,20,2,5,2,20
3,37,20,3,1,2,20
3,37,20,3,5,2,4
3,37,20,3,5,2,20
3,37,20,3,1,2,5
3,37,20,2,2,2,39
3,37,20,3,5,2,25
3,37,20,1,5,2,3
3,37,20,2,1,2,25
3,37,20,3,5,2,14
3,37,20,2,5,2,13
3,37,20,3,5,2,15
3,37,20,3,5,2,10
3,37,20,3,1,2,10
3,37,20,1,1,2,16
3,37,20,3,5,2,16
3,37,20,2,1,2,12
3,37,20,3,5,2,10
3,37,20,3,5,2,46
3,37,20,3,5,2,30
3,37,20,3,8,2,32
3,37,20,3,5,2,15
3,37,20,3,5,2,25
1,51,14,3,1,1,16
1,51,14,3,1,1,7
1,51,14,2,10,1,30
1,51,14,3,4,1,8
1,51,14,3,1,1,4
1,51,14,2,4,1,25
1,51,14,1,4,1,9
1,51,14,1,7,1,9
1,51,14,3,5,1,5
3,65,13,2,1,1,18
3,65,13,3,1,1,2
3,65,13,3,7,1,10
3,65,13,1,1,1,11
3,65,13,1,9,1,19
3,65,13,2,1,1,23
3,65,13,3,4,1,4
3,65,13,1,1,1,1
3,65,13,2,3,1,7
3,65,13,3,4,1,6
3,65,13,3,1,1,30
3,65,13,3,4,1,18
3,65,13,2,1,1,6
3,65,13,1,1,1,3
3,65,13,3,4,1,17
3,65,13,1,5,1,5
3,46,33,2,1,3,52
3,46,33,2,1,3,17
3,46,33,2,1,3,35
3,46,33,3,1,3,4
3,46,33,3,11,3,13
3,46,33,2,1,3,50
3,46,33,2,11,3,29
3,46,33,3,5,3,3
3,46,33,3,5,3,33
3,46,33,3,1,3,16
3,46,33,3,1,3,20
3,46,33,1,1,3,7
3,46,33,2,1,3,28
3,46,33,2,1,3,32
3,46,33,3,11,3,3
3,46,33,3,1,3,19
3,46,33,2,1,3,24
3,46,33,2,1,3,22
3,46,33,2,1,3,42
3,46,33,2,2,3,24
3,46,33,2,1,3,8
3,46,33,2,11,3,50
3,46,33,1,1,3,1
3,46,33,2,5,3,14
3,46,33,3,1,3,21
3,46,33,3,11,3,8
3,46,33,2,11,3,37
3,46,33,2,5,3,9
3,46,33,3,1,3,10
3,46,33,2,1,3,36
3,46,33,1,1,3,15
3,46,33,1,5,3,6
3,46,33,2,1,3,15
3,46,33,3,1,3,17
1,34,22,1,1,3,5
1,34,22,2,1,3,36
1,34,22,3,11,3,25
1,34,22,3,5,3,5
1,34,22,3,1,3,18
1,34,22,2,11,3,11
1,34,22,2,11,3,34
1,34,22,3,11,3,8
1,34,22,2,6,3,30
1,34,22,3,5,3,5
1,34,22,3,1,3,24
1,34,22,3,1,3,26
1,34,22,1,1,3,1
1,34,22,2,1,3,12
1,34,22,3,1,3,12
1,34,22,3,1,3,1
1,34,22,3,5,3,11
1,34,22,1,11,3,1
1,34,22,3,1,3,22
1,34,22,3,11,3,15
1,34,22,1,5,3,3
1,34,22,1,11,3,9
1,34,22,2,1,3,22
1,34,22,1,11,3,18
1,34,22,1,1,3,8
1,34,22,3,11,3,7
1,34,22,3,1,3,6
