Year,FSM,VR1 Band,VR Band of Student,Ethnic group of student,School denomination,Exam Score
1,24,18,3,1,1,17
1,24,18,3,1,1,5
1,24,18,3,1,1,16
1,24,18,3,1,1,12
1,24,18,3,1,1,7
1,24,18,3,1,1,20
1,24,18,3,1,1,15
1,24,18,1,1,1,16
1,24,18,3,1,1,26
1,24,18,3,1,1,5
1,24,18,3,1,1,18
1,24,18,2,1,1,24
1,24,18,3,1,1,9
1,24,18,1,1,1,15
1,24,18,2,1,1,31
1,24,18,3,5,1,7
1,24,18,3,1,1,11
1,24,18,2,1,1,29
1,24,18,3,1,1,22
1,24,18,2,1,1,28
1,24,18,2,1,1,27
1,24,18,3,1,1,5
1,24,18,3,1,1,17
1,24,18,3,1,1,15
1,24,18,3,1,1,5
1,24,18,3,10,1,18
1,24,18,3,1,1,21
1,24,18,2,1,1,22
1,24,18,1,1,1,6
1,24,18,1,1,1,8
1,24,18,1,1,1,9
1,24,18,3,1,1,22
1,24,18,3,1,1,10
1,24,18,1,1,1,17
1,24,18,3,1,1,19
1,24,18,3,2,1,30
1,24,18,2,9,1,27
1,24,18,3,1,1,2
1,24,18,3,1,1,2
1,24,18,2,1,1,26
1,24,18,3,1,1,22
1,24,18,1,1,1,4
1,24,18,3,1,1,11
1,24,18,2,1,1,5
1,24,18,3,1,1,14
1,24,18,3,1,1,8
1,24,18,2,1,1,30
1,24,18,3,1,1,18
1,24,18,1,5,1,7
1,24,18,3,1,1,10
1,24,18,1,5,1,12
1,24,18,3,1,1,16
1,24,18,2,1,1,17
1,24,18,2,1,1,17
1,24,18,3,1,1,24
1,24,18,1,9,1,39
1,24,18,2,1,1,22
1,24,18,1,9,1,3
1,24,18,3,1,1,16
1,24,18,3,1,1,19
1,24,18,2,1,1,16
1,24,18,3,1,1,5
1,24,18,3,3,1,16
1,24,18,2,1,1,18
1,24,18,3,1,1,31
1,24,18,3,1,1,23
1,24,18,3,1,1,18
1,24,18,2,1,1,30
1,24,18,2,7,1,50
1,24,18,1,1,1,4
1,24,18,3,1,1,25
1,24,18,3,1,1,13
1,24,18,3,1,1,32
1,24,18,2,1,1,26
1,24,18,3,1,1,8
1,24,18,2,1,1,18
1,24,18,2,1,1,23
1,24,18,3,11,1,22
1,24,18,1,1,1,12
1,24,18,3,1,1,3
2,43,17,1,11,1,1
2,43,17,2,1,1,27
2,43,17,3,7,1,19
2,43,17,3,1,1,24
2,43,17,1,1,1,14
2,43,17,1,1,1,5
2,43,17,1,5,1,5
2,43,17,3,1,1,7
2,43,17,2,1,1,23
2,43,17,2,1,1,26
2,43,17,3,1,1,2
2,43,17,3,5,1,17
2,43,17,3,1,1,35
2,43,17,1,1,1,1
2,43,17,2,1,1,51
2,43,17,1,1,1,11
2,43,17,3,1,1,14
2,43,17,3,1,1,28
2,43,17,3,1,1,1
2,43,17,3,1,1,19
2,43,17,3,1,1,22
2,43,17,1,1,1,2
2,43,17,2,1,1,32
2,43,17,1,1,1,9
2,43,17,1,1,1,10
2,43,17,3,1,1,14
2,43,17,3,1,1,18
2,43,17,1,1,1,4
2,43,17,3,1,1,17
2,43,17,1,1,1,22
2,43,17,3,1,1,2
2,43,17,2,1,1,31
2,43,17,1,1,1,9
2,43,17,1,5,1,14
2,43,17,3,1,1,5
2,43,17,3,1,1,17
2,43,17,3,1,1,46
2,43,17,3,7,1,17
2,43,17,3,1,1,9
2,43,17,3,1,1,17
2,43,17,2,1,1,5
2,43,17,3,1,1,25
2,43,17,3,1,1,9
2,43,17,3,1,1,16
2,43,17,3,1,1,27
2,43,17,3,1,1,30
2,43,17,3,1,1,4
2,43,17,2,11,1,35
2,43,17,2,1,1,25
2,43,17,1,1,1,14
2,43,17,3,1,1,13
2,43,17,3,1,1,30
2,43,17,3,1,1,2
2,43,17,3,1,1,26
2,43,17,1,1,1,10
2,43,17,2,7,1,49
2,43,17,1,1,1,4
2,43,17,2,1,1,25
2,43,17,1,1,1,1
3,43,12,3,1,1,16
3,43,12,3,11,1,6
3,43,12,3,1,1,28
3,43,12,3,1,1,9
3,43,12,3,1,1,23
3,43,12,1,1,1,18
3,43,12,1,1,1,5
3,43,12,2,1,1,43
3,43,12,1,1,1,16
3,43,12,3,1,1,17
3,43,12,1,1,1,10
3,43,12,2,1,1,5
3,43,12,3,1,1,28
3,43,12,3,1,1,19
3,43,12,3,1,1,22
3,43,12,1,1,1,2
3,43,12,3,1,1,11
3,43,12,2,1,1,33
3,43,12,2,1,1,9
3,43,12,2,1,1,7
3,43,12,3,1,1,11
3,43,12,3,1,1,36
3,43,12,3,1,1,10
3,43,12,3,1,1,22
3,43,12,3,1,1,30
3,43,12,2,1,1,9
3,43,12,1,1,1,11
3,43,12,3,1,1,23
3,43,12,1,1,1,7
3,43,12,3,1,1,15
3,43,12,1,1,1,8
3,43,12,3,1,1,3
3,43,12,3,1,1,14
3,43,12,3,1,1,41
3,43,12,3,1,1,10
3,43,12,3,5,1,17
3,43,12,3,1,1,30
3,43,12,3,7,1,32
3,43,12,1,1,1,12
3,43,12,3,1,1,2
3,43,12,1,1,1,5
3,43,12,3,1,1,6
3,43,12,1,7,1,15
3,43,12,2,1,1,19
3,43,12,2,1,1,35
3,43,12,1,1,1,10
3,43,12,3,1,1,15
3,43,12,3,1,1,4
3,43,12,1,1,1,16
3,43,12,3,1,1,5
3,43,12,3,1,1,7
3,43,12,3,1,1,14
3,43,12,3,1,1,23
3,43,12,2,1,1,43
3,43,12,2,1,1,14
3,43,12,2,1,1,3
3,43,12,3,1,1,24
3,43,12,1,1,1,12
3,43,12,1,1,1,7
3,43,12,3,1,1,49
3,43,12,3,1,1,24
2,54,26,3,1,1,30
2,54,26,2,1,1,60
2,54,26,2,1,1,48
2,54,26,2,1,1,25
2,54,26,3,1,1,15
2,54,26,3,1,1,30
2,54,26,3,11,1,32
2,54,26,2,1,1,32
2,54,26,1,11,1,1
2,54,26,1,10,1,3
2,54,26,3,5,1,13
2,54,26,2,1,1,17
2,54,26,2,11,1,20
2,54,26,2,1,1,40
2,54,26,2,1,1,45
2,54,26,3,5,1,5
2,54,26,2,1,1,45
2,54,26,3,6,1,2
2,54,26,1,4,1,1
2,54,26,2,10,1,21
2,54,26,1,1,1,29
2,54,26,1,11,1,10
2,54,26,3,1,1,10
2,54,26,3,1,1,30
2,54,26,3,1,1,32
2,54,26,3,5,1,14
2,54,26,3,1,1,38
2,54,26,3,5,1,12
2,54,26,2,1,1,32
2,54,26,2,11,1,39
2,54,26,3,1,1,18
2,54,26,1,1,1,3
2,54,26,3,1,1,11
2,54,26,3,1,1,20
2,54,26,3,1,1,25
2,54,26,3,1,1,13
2,54,26,2,1,1,26
2,54,26,3,1,1,18
2,54,26,3,6,1,35
2,54,26,1,2,1,1
2,54,26,1,5,1,9
2,54,26,3,1,1,46
2,54,26,1,1,1,12
2,54,26,3,1,1,39
2,54,26,1,1,1,14
2,54,26,2,1,1,50
2,54,26,3,1,1,1
2,54,26,2,1,1,41
3,54,26,1,1,1,4
3,54,26,2,1,1,70
3,54,26,3,1,1,56
3,54,26,2,1,1,48
3,54,26,3,6,1,40
3,54,26,3,9,1,28
3,54,26,2,11,1,70
3,54,26,1,9,1,19
3,54,26,1,6,1,1
3,54,26,3,5,1,12
3,54,26,1,6,1,9
3,54,26,2,1,1,47
3,54,26,2,1,1,30
3,54,26,1,9,1,17
3,54,26,1,5,1,11
3,54,26,1,5,1,24
3,54,26,1,1,1,5
3,54,26,2,1,1,46
3,54,26,3,1,1,40
3,54,26,2,6,1,44
3,54,26,3,1,1,22
3,54,26,2,1,1,36
3,54,26,3,5,1,14
3,54,26,1,1,1,4
3,54,26,1,9,1,8
3,54,26,1,1,1,5
3,54,26,3,11,1,38
3,54,26,3,1,1,30
3,54,26,2,1,1,45
3,54,26,3,1,1,8
3,54,26,2,1,1,38
3,54,26,2,1,1,48
3,54,26,2,1,1,41
3,54,26,2,11,1,54
3,54,26,3,11,1,31
3,54,26,3,1,1,39
3,54,26,1,1,1,5
3,54,26,3,1,1,28
3,54,26,3,5,1,2
3,54,26,2,1,1,47
3,54,26,3,1,1,6
3,54,26,2,1,1,49
3,54,26,3,1,1,20
1,20,22,3,1,2,28
1,20,22,3,1,2,33
1,20,22,3,1,2,20
1,20,22,3,5,2,31
1,20,22,2,1,2,38
1,20,22,2,1,2,41
1,20,22,2,1,2,21
1,20,22,2,1,2,32
1,20,22,3,1,2,27
1,20,22,2,1,2,34
1,20,22,3,1,2,12
1,20,22,1,1,2,2
1,20,22,1,1,2,3
1,20,22,1,1,2,16
1,20,22,1,1,2,14
1,20,22,3,5,2,28
1,20,22,3,1,2,9
1,20,22,1,1,2,2
1,20,22,1,1,2,2
1,20,22,3,1,2,16
1,20,22,3,1,2,18
1,20,22,1,1,2,13
1,20,22,2,1,2,54
1,20,22,3,1,2,16
1,20,22,2,1,2,50
1,20,22,1,1,2,24
1,20,22,3,1,2,14
1,20,22,2,1,2,31
1,20,22,1,1,2,3
1,20,22,2,1,2,33
1,20,22,2,1,2,37
1,20,22,1,1,2,3
1,20,22,3,1,2,17
1,20,22,2,1,2,28
1,20,22,2,1,2,29
1,20,22,1,1,2,11
1,20,22,2,1,2,20
1,20,22,1,1,2,8
1,20,22,3,1,2,20
1,20,22,3,1,2,12
1,20,22,3,1,2,36
1,20,22,2,1,2,10
1,20,22,3,10,2,32
1,20,22,3,1,2,14
1,20,22,1,1,2,26
1,20,22,2,1,2,50
1,20,22,3,1,2,21
1,20,22,1,1,2,4
1,20,22,1,1,2,2
1,20,22,3,1,2,22
1,20,22,3,1,2,24
1,20,22,2,1,2,41
1,20,22,3,1,2,20
1,20,22,2,1,2,24
1,20,22,1,2,2,11
1,20,22,2,1,2,27
1,20,22,3,1,2,21
1,20,22,2,1,2,36
1,20,22,2,1,2,26
1,20,22,3,1,2,21
1,20,22,3,1,2,19
1,20,22,2,1,2,23
1,20,22,1,1,2,15
1,20,22,2,1,2,39
1,20,22,1,1,2,3
1,20,22,1,1,2,8
1,20,22,3,10,2,20
1,20,22,1,1,2,5
1,20,22,2,1,2,52
1,20,22,3,1,2,20
2,29,23,3,1,2,8
2,29,23,3,1,2,22
2,29,23,3,1,2,21
2,29,23,3,1,2,24
2,29,23,2,1,2,23
2,29,23,3,1,2,12
2,29,23,2,1,2,16
2,29,23,2,1,2,35
2,29,23,1,1,2,11
2,29,23,3,1,2,15
2,29,23,1,1,2,12
2,29,23,1,1,2,6
2,29,23,3,1,2,4
2,29,23,1,1,2,22
2,29,23,3,1,2,28
2,29,23,3,1,2,36
2,29,23,3,5,2,11
2,29,23,2,1,2,25
2,29,23,3,1,2,16
2,29,23,2,1,2,36
2,29,23,3,1,2,8
2,29,23,3,1,2,23
2,29,23,2,1,2,31
2,29,23,3,1,2,10
2,29,23,1,1,2,2
2,29,23,3,1,2,23
2,29,23,3,1,2,27
2,29,23,3,1,2,20
2,29,23,3,1,2,7
2,29,23,2,1,2,17
2,29,23,3,1,2,9
